"","x","y","c.1","c.2","c.3"
"215665",165,69,0.141176470588235,0.219607843137255,0.568627450980392
"71784",284,357,0.141176470588235,0.219607843137255,0.568627450980392
"232794",294,35,0.141176470588235,0.219607843137255,0.568627450980392
"156636",136,187,0.203921568627451,0.2,0.192156862745098
"212455",455,76,0.419286116872012,0.456610165150296,0.455835940326143
"29189",189,442,0.34299940408271,0.359702678155289,0.232546788481383
"160126",126,180,0.199691724569721,0.199691724569721,0.191848587314819
"239477",477,22,0.141176470588235,0.219607843137255,0.568627450980392
"109381",381,282,0.736788682137779,0.506694019281477,0.380959432779547
"114442",442,272,0.224659950223298,0.210569016395248,0.202175097678098
"238087",87,24,0.141176470588235,0.219607843137255,0.568627450980392
"232025",25,36,0.141176470588235,0.219607843137255,0.568627450980392
"39120",120,422,0.141176470588235,0.219607843137255,0.568627450980392
"208640",140,83,0.141176470588235,0.219607843137255,0.568627450980392
"59739",239,381,0.986871559623625,0.80545902197272,0.0315046975736332
"165498",498,170,0.139307412563264,0.22068697594613,0.568549753418153
"176677",177,147,0.141176470588235,0.219607843137255,0.568627450980392
"79373",373,342,0.603541672539242,0.619227947049046,0.623149515676497
"81379",379,338,0.604960369601178,0.61780041367217,0.619622368798831
"68462",462,364,0.141176470588235,0.219607843137255,0.568627450980392
"116263",263,268,0.23423275564934,0.425699751957061,0.246102138275393
"119168",168,262,0.53472632929289,0.537472921237748,0.512021871067985
"33475",475,434,0.141176470588235,0.219607843137255,0.568627450980392
"110981",481,279,0.141176470588235,0.219607843137255,0.568627450980392
"184465",465,132,0.141176470588235,0.219607843137255,0.568627450980392
"155724",224,189,0.276210518950834,0.464636575844938,0.270673401523331
"226145",145,48,0.141176470588235,0.219607843137255,0.568627450980392
"240784",284,19,0.141176470588235,0.219607843137255,0.568627450980392
"41710",210,417,0.513020326426737,0.531967538754971,0.281311511700482
"100512",12,299,0.141176470588235,0.219607843137255,0.568627450980392
"2890",390,495,0.141176470588235,0.219607843137255,0.568627450980392
"197116",116,106,0.141176470588235,0.219607843137255,0.568627450980392
"148910",410,203,0.141176470588235,0.219607843137255,0.568627450980392
"187278",278,126,0.345098039215686,0.509803921568627,0.36078431372549
"164547",47,171,0.141176470588235,0.219607843137255,0.568627450980392
"4129",129,492,0.141176470588235,0.219607843137255,0.568627450980392
"14380",380,472,0.141176470588235,0.219607843137255,0.568627450980392
"216552",52,67,0.141176470588235,0.219607843137255,0.568627450980392
"158968",468,183,0.141176470588235,0.219607843137255,0.568627450980392
"66222",222,368,0.141176470588235,0.219607843137255,0.568627450980392
"7825",325,485,0.141176470588235,0.219607843137255,0.568627450980392
"193096",96,114,0.141176470588235,0.219607843137255,0.568627450980392
"23875",375,453,0.141176470588235,0.219607843137255,0.568627450980392
"102874",374,295,0.612491299007281,0.375743995110366,0.270641440933915
"36577",77,427,0.141176470588235,0.219607843137255,0.568627450980392
"67404",404,366,0.141176470588235,0.219607843137255,0.568627450980392
"234015",15,32,0.141176470588235,0.219607843137255,0.568627450980392
"221645",145,57,0.141176470588235,0.219607843137255,0.568627450980392
"171688",188,157,0.141176470588235,0.219607843137255,0.568627450980392
"38238",238,424,0.141176470588235,0.219607843137255,0.568627450980392
